A list of all the names already used for the levels.
Please choose different names.
=====================================================

             Name                 Collection    Num.
(Bring Me My) Broadsword        Challenge-III   0976
(Shortcuts) planning level      Challenge-II    0650
* Lih.~                         Challenge-IV    0992
** A ** Lot ** Of ** Ice **     Challenge-I     0186
*** Backwards ***               Challenge-II    0560
*** Backwards *** Compact       Challenge-II    0726
*** Backwards *** II            Challenge-II    0561
*** Backwards *** III           Challenge-II    0599
*** Green Peace ***             LaserTank       0884
*** Overlap ***                 LaserTank       0885
**INSERT TITLE HERE**           Challenge-III   1857
*<<XTREEM RYDER>>*              Challenge-I     1177
.......They gonna get U !!!     Challenge-II    1149
.....K                          Challenge-II    1311
....O.                          Challenge-II    1310
...<TEST_LEVEL>...              Challenge-II    1285
...Getting out is hard          Challenge-IV    1320
...In A Dark Time               Challenge-II    0392
...T..                          Challenge-II    1309
..R...                          Challenge-II    1308
.A....                          Challenge-II    1307
/.\                             Beginner-II     1336
/53-|- ONE VARIABLE*$£n         Challenge-IV    0149
/join #block                    Sokoban-I       1950
:)                              Beginner-I      0013
? ? ? ? ? ? ? ? ? ?             Challenge-II    0702
? BRICKS.HOW MANY?              Beginner-I      1018
? NUMBER OF MIRRORS             Special-I       0207
?!  I                           Beginner-II     0681
''???''                         Challenge-II    1087
???                             Beginner-I      0075
???: A new dimmension           Beginner-I      1963
???: Chaos                      Challenge-III   0194
???: Mr.Randalf                 Beginner-I      1964
????                            Beginner-I      0018
???????                         LaserTank       1683
???HUH???                       Beginner-I      0008
?Hermaniac?                     LaserTank       0917
?mp?rt?nt d??t                  Sokoban-II      0376
?WHICH SIDE?                    Beginner-I      1160
@@@@@@@@@@@                     Challenge-III   1278
[ Spinning Mobile Mirrors ]     Challenge-II    0605
[><]                            Sokoban-II      0506
[Alpha]                         Sokoban-II      0192
[Beta]                          Sokoban-II      0193
[Chi]                           Sokoban-II      0213
[Delta]                         Sokoban-II      0195
[Epsilon]                       Sokoban-II      0196
[Eta]                           Sokoban-II      0198
[Gamma]                         Sokoban-II      0194
[Iota]                          Sokoban-II      0200
[Kappa]                         Sokoban-II      0201
[Lambda]                        Sokoban-II      0202
[Mu]                            Sokoban-II      0203
[Nu]                            Sokoban-II      0204
[Omega]                         Sokoban-II      0215
[Omicron]                       Sokoban-II      0206
[Phi]                           Sokoban-II      0212
[Pi]                            Sokoban-II      0207
[Psi]                           Sokoban-II      0214
[Rho]                           Sokoban-II      0208
[Sigma]                         Sokoban-II      0209
[Tau]                           Sokoban-II      0210
[Theta]                         Sokoban-II      0199
[Upsilon]                       Sokoban-II      0211
[Xi]                            Sokoban-II      0205
[Zeta]                          Sokoban-II      0197
\ /pside-dow/ \                 Challenge-III   1483
\\\ GUARDED ///                 Challenge-I     1475
^e^a^u^                         Challenge-IV    1128
{FLG}-[BLK]-(MRR)               Special-I       0468
|\!"#Fortress#"!\|              Beginner-I      0924
||| The Terrorists |||          Challenge-II    0640
|||||Diagonals|||||             Special-I       0131
~~~~~~~~~~~~                    Beginner-I      0011
~~~~~~~~Waves~~~~~~~            Beginner-I      0515
¡¡Help!!                        Beginner-I      1108
'¨'Rooms'¨'                     LaserTank       1956
¿*ßoni®oser*¿                   Special-I       0256
¿>>{@Lonthelly@}<<¿             Sokoban-I       0633
¿Cristal? ¡Snake!               Challenge-IV    0151
+Guard of Honour                Challenge-III   1728
+Stars and Stripes              Challenge-III   1716
+Union Jack                     Challenge-III   1714
< No hint... for this level >   Challenge-IV    1925
< X >                           Challenge-IV    0695
<< Wall Puzzle >>               Beginner-I      0663
<< Wall Puzzle >> II            Beginner-I      0664
<<<<Morgorglornk>>>>            Special-I       0270
<<<The Crying Man>>>            Challenge-II    0298
<<<The Happy Man>>>             Challenge-I     1400
<======TRAX 1=======>           Special-I       0068
<======TRAX 2=======>           Special-I       0069
<DELETADOR> <1>                 Beginner-I      0758
<DELETADOR> <2>                 Challenge-II    0775
<EASIEST> planning level        Beginner-I      0635
<XC                             Challenge-III   0167
> short && < long               Beginner-II     0813
>>longest most<< easy           Sokoban-I       0538
© by Fox McCloud                Sokoban-I       1954
© Razorflame                    Sokoban-II      1596
© Sven Egevad 680 Soko-I        Sokoban-I       0707
0...!                           Beginner-II     1204
0.1 easy as pie                 Beginner-I      1543
007 Em Ação !!!                 Beginner-I      1049
007II  O Paráiso Da Morte II    Sokoban-I       0663
007III A Gangue                 Beginner-I      1050
007III A Gangue II              Challenge-II    0763
010102 Script                   Beginner-I      0660
08/08/08                        Beginner-II     1019
1                               Beginner-II     0688
1  0  machine                   Beginner-II     0882
1 block solves it all           Challenge-II    1691
1 Brick Bridge                  Challenge-II    1374
1 Flag                          Challenge-II    0030
1 Level Tapi Susah? :-)         LaserTank       0305
1 Problem Type, 4 Methods       Challenge-IV    1799
1, 2, 3 Sokoban                 Sokoban-II      0703
1/2 block                       Beginner-II     0777
10                              Beginner-I      1380
10 FLAGS, 9 WRONG               Challenge-III   1578
10 Shots ?                      LaserTank       1850
10 shots only!                  LaserTank       0555
100 moves!                      Beginner-I      0795
1000 pattes                     Challenge-II    0075
101                             Challenge-II    1164
108 blocks or... and...         Sokoban-I       0690
10th                            Sokoban-II      0090
10th level                      Beginner-I      0385
11 And 12                       Challenge-III   1511
11 Flags                        Beginner-I      1402
1130159                         Challenge-II    1312
11th                            Sokoban-II      0091
1-2                             Challenge-I     0388
12 Block Engine                 Challenge-IV    0440
12 Block Engine Mark II         Challenge-IV    1108
12 Boxes.                       Challenge-IV    0589
12 shots ONLY!                  LaserTank       0623
120yd Par 3                     Challenge-III   0442
123                             Challenge-II    0065
123 #1                          Challenge-III   1611
123 #2                          Challenge-III   1612
1-2-3-10                        LaserTank       1018
1-2-3-4                         LaserTank       0344
123-lvl-456                     Beginner-I      1196
128-B                           Sokoban-I       0511
12th                            Sokoban-II      0092
13 7 4 4 2 1 1 at first         Challenge-IV    0143
13 Blocks                       LaserTank       1271
13 Floors                       Challenge-III   1729
13 Ounces                       Sokoban-I       0448
13+11+9+7+5+3+1                 Sokoban-I       0396
13th                            Sokoban-II      0093
14 to 1                         LaserTank       0648
14th                            Sokoban-II      0094
15 steps to Freedome !          LaserTank       0024
15,000 levels - A               Sokoban-I       1984
15,000 levels - B               Sokoban-I       1985
1500 Meters                     Challenge-I     1810
15th                            Sokoban-II      0095
16 Block Bride!!                Beginner-I      1152
16 bloks to flag-but 10x10 ro   Beginner-II     0724
16 Rooms                        Challenge-III   0720
16 Rooms of Goodness            Challenge-III   1026
16th                            Sokoban-II      0096
17 Block                        LaserTank       1116
17 soldiers                     Challenge-III   0752
17,000 levels                   Sokoban-II      0332
17th                            Sokoban-II      0097
1888 - Find the number out!     Challenge-II    1290
18th                            Sokoban-II      0098
19 Flags                        LaserTank       1383
19-Shotscaryscaryfunhouse       Challenge-III   1432
19th                            Sokoban-II      0099
1Gâteau                         Sokoban-I       1117
1º de Maio                      Sokoban-I       1062
1Plouf                          Beginner-II     0220
1-Shothappyhappyfunhouse        Beginner-II     0509
1st                             Sokoban-II      0081
1st conveyor test               Beginner-II     0776
1st Map                         Challenge-I     0658
2                               Beginner-II     0689
2 Anti-Tanks                    LaserTank       1606
2 Anti-Tanks or 5?              Beginner-II     0107
2 blocks                        Challenge-V     0228
2 boxes + 9 rooms               LaserTank       0916
2 boxes of blocks               Sokoban-I       0225
2 bridges,2 flags               Sokoban-II      1308
2 Deep Little Wells             LaserTank       0290
2 E-zee                         Beginner-I      0941
2 loops and 2 flags             Challenge-II    1576
2 Minutes of Thinking           Challenge-III   1257
2 of 6 are possible             LaserTank       1510
2 Pairs of tunnels              Challenge-II    1380
2 Rivers                        Beginner-I      0366
2 Sokobans in 1                 Sokoban-I       1475
2 Towers with Broken Stairs     Challenge-IV    0322
2 Triangles                     LaserTank       1295
2.#1                            Special-I       0465
2/3 lost                        Sokoban-II      0249
2/3 wrong!                      LaserTank       1619
20 - 30 Min Tops                Special-I       0050
20 Blocks                       LaserTank       1272
20,000 Levels & more            Challenge-V     0367
200 long!!!                     Beginner-I      1782
200 long!!! - Mod. A            Sokoban-I       0873
200 long!!! - Mod. B            Sokoban-I       0874
200 long!!! - Mod. C            Sokoban-I       0875
2002                            Challenge-II    0505
2003                            Challenge-II    1151
2003 Anno Domini                Sokoban-I       0458
2006 FIFA World Cup             Challenge-IV    0055
2006 World Cup Final            Challenge-IV    0057
2006_001                        Beginner-II     0867
2006_002                        Beginner-II     0868
2006_003                        Beginner-II     0869
20th                            Sokoban-II      0100
21st                            Sokoban-II      0101
22                              Beginner-I      1101
22 boxes                        Sokoban-I       0150
222 mirrors & walls             LaserTank       0222
22nd                            Sokoban-II      0102
23 Blocks                       Sokoban-I       1934
23rd                            Sokoban-II      0103
24 hours clock                  Special-I       0434
24th                            Sokoban-II      0104
25 blocks                       LaserTank       1097
25 boxes away                   Beginner-I      1992
25 glassboxes away              Challenge-III   0236
25 lightboxes away              Beginner-I      1991
256 A Grands Pas                Challenge-II    1602
25th                            Sokoban-II      0105
26 moves and 25 shots           LaserTank       0322
26th                            Sokoban-II      0106
27                              Sokoban-I       0761
27th                            Sokoban-II      0107
28th                            Sokoban-II      0108
29                              Sokoban-I       0517
29th                            Sokoban-II      0109
2Allo                           Beginner-II     0222
2Bingal                         Beginner-II     0223
2Cake.lvl                       Challenge-III   0570
2Chandelle                      Beginner-II     0224
2CoupeMelba                     Beginner-II     0225
2D's Sokoban-II #0083           Sokoban-II      0333
2-fache Kolbenpumpe             Sokoban-I       1177
2Fusée                          Beginner-II     0226
2nd                             Sokoban-II      0082
2nd Bridge to Civilization      Sokoban-I       1474
2nd conveyor test               Challenge-IV    0139
2Télé                           Beginner-II     0227
3 axes                          Sokoban-I       1958
3 Blocks?                       Challenge-II    1355
3 choices                       LaserTank       0556
3 choices 3 flags               Challenge-I     1861
3 choices II                    LaserTank       0509
3 Deep Little Wells             LaserTank       0294
3 Ice Boxes                     LaserTank       2024
3 Move Level (Auto)             Special-I       0209
3 Moves                         Beginner-I      1089
3 parts                         LaserTank       0551
3 Possible Ways!                Beginner-I      1034
3 Sokobans in 1                 Sokoban-I       1476
3 Story Condo                   Challenge-III   0443
3 Tunnels                       Challenge-I     0408
3 Way Destination               Beginner-I      1615
3 ways                          Beginner-I      1858
3 ways...                       Beginner-II     1082
3_Jammed-in-a-Tunnel            Challenge-IV    1846
³¤£@>#$¶/\~^¨%*<°=§&(1)         Special-I       0460
3° war                          Beginner-I      0197
30 Is Enough                    Sokoban-I       0703
30th                            Sokoban-II      0110
31st                            Sokoban-II      0111
32nd                            Sokoban-II      0112
33rd                            Sokoban-II      0113
34                              Challenge-III   1262
34 ( Malucos)                   Beginner-I      1093
34th                            Sokoban-II      0114
3-5                             Beginner-II     0690
35                              Beginner-I      1001
35 - 40 Min Tops                Special-I       0095
35 shots, 2 moves!              Challenge-I     1372
35th                            Sokoban-II      0115
36 Easter eggs                  Challenge-II    0149
36th                            Sokoban-II      0116
37th                            Sokoban-II      0117
38 Blocks                       Sokoban-I       1619
386 Warp CPU                    Challenge-I     0163
386 WARP CPU PART 2             Challenge-I     0166
386 WARP CPU Part Final         Challenge-I     0654
38th                            Sokoban-II      0118
39th                            Sokoban-II      0119
3araAka                         Challenge-III   0053
3Canette                        Beginner-II     0228
3-D                             Challenge-I     0985
3d. Energy Facility             Challenge-III   0254
3Fan                            Challenge-III   0571
3Flicum                         Beginner-II     0229
3PasBeau                        Sokoban-I       1118
3Pieu                           Sokoban-I       1119
3rd                             Sokoban-II      0083
3rd Bridge to Civilization      Sokoban-I       1575
3TheLast                        Sokoban-I       1120
4 anti-tanks                    Challenge-V     0227
4 Blocks                        Sokoban-II      0243
4 blocks filled with blocks     Sokoban-I       0796
4 blocks in the corners         Beginner-I      0989
4 Boxes                         Beginner-I      1446
4 Coins 1                       Beginner-I      1228
4 Coins 2                       Beginner-I      1229
4 Corners                       Sokoban-I       1585
4 Cylinder Engine               Challenge-IV    0289
4 Cylinders - 1 Piston          Challenge-IV    0290
4 Diferent Squares # 1          Beginner-I      1134
4 Diferent Squares # 2          Beginner-I      1139
4 Different Squares # 3         Beginner-I      1143
4 flags and...                  Challenge-II    1319
4 FLAGS EACH.                   Beginner-I      1007
4 houses near cross river       Challenge-IV    0192
4 Ice Boxes                     LaserTank       2025
4 in 1                          Challenge-II    1575
4 MAZE                          Beginner-I      1036
4 Moves 4 You                   Challenge-I     1449
4 rivers                        LaserTank       0554
4 Sokoban Areas                 Special-I       0164
4 Sokobans in 1                 Sokoban-I       1477
4 Soko-Crosses & A Star         Special-I       0165
4 solutions impossibles         Sokoban-II      1109
4 stacks of mirrors             Challenge-I     1513
4 Stages                        Beginner-I      1420
4 tunnel walk                   Challenge-II    1573
40th The Last Day               Sokoban-II      0120
45555                           Challenge-II    0736
46 immortal anti-tanks          Challenge-II    1426
4691 Irradiated Haggis          Challenge-III   1433
47 SHOTS OR LESS?               LaserTank       0242
4rivers,4islands,4trianglesan   Beginner-I      1852
4th                             Sokoban-II      0084
4th & Goal... TD or FG?         Challenge-III   0444
4th Bridge to Civilization      Sokoban-I       1662
4x4                             Challenge-II    1298
5 Amigos                        Sokoban-II      0571
5 balls                         Sokoban-I       0689
5 bits binary counter           Special-I       0397
5 Ice Boxes                     LaserTank       2026
5 little icy wells              Challenge-III   0234
5 Minutes                       Special-I       0080
5 Mirrors                       Challenge-IV    0590
5 out of 7                      Challenge-IV    1356
5 out of the cage               LaserTank       1436
5 Sokobans in 1                 Sokoban-I       1478
5 Worlds                        Challenge-III   0687
5*                              LaserTank       1163
50 / 50                         Sokoban-I       0609
50/50                           Challenge-III   0488
500000 fanatics in streets...   Challenge-I     0057
500º                            Challenge-I     0602
50th Level Aniversery           Special-I       0145
53 Mirrors To Clean             Special-I       0224
53-block sokoban                Sokoban-I       1320
5-square                        Sokoban-I       0731
5star's Executive #1            LaserTank       1296
5star's Executive #2            LaserTank       1448
5star's Executive #3            LaserTank       1449
5th                             Sokoban-II      0085
6 Blocks                        Sokoban-I       0376
6 Choice                        LaserTank       1610
6 Ice Boxes                     LaserTank       2027
6 Ice Cubes                     Challenge-II    0529
6 little puzzles                Sokoban-I       0705
6 rivers and 1 lake             LaserTank       0512
6 Sokobans in 1                 Sokoban-I       1479
6 tunnels No. 4                 Sokoban-I       1176
61 flags                        LaserTank       0536
65,498 Shots, 2 Moves           Special-I       0432
69                              Beginner-I      1541
6-Sided #1                      Sokoban-I       1680
6th                             Sokoban-II      0086
6yTep6poA                       Challenge-III   0057
7 Bridges of Königberg          LaserTank       0125
7 Minutes of Thinking           Challenge-II    0712
7865796                         Beginner-I      1871
7o 15o7e 2e8 7o 3a4 #2          Challenge-III   0205
7th                             Sokoban-II      0087
8 Blocks, 4 Flags               Sokoban-I       0516
8 In 1 Special                  Beginner-II     0162
8 Track                         Challenge-III   1982
8 ways                          Beginner-I      1610
8 x 8                           LaserTank       1676
8/9                             Beginner-I      1137
87 candles                      Challenge-III   0960
8-bits binary counter           Special-I       0398
8-digit Binary Counter          Special-I       0410
8-digit Ternary Counter         Special-I       0411
8-gun-lock                      Challenge-II    0254
8th                             Sokoban-II      0088
8th september                   Challenge-II    0575
9 Flower Alchemy                Sokoban-I       1526
9 in 1 Special                  Challenge-III   1104
9 Squares                       Beginner-II     1218
9/15 of the tanks unuseful!     Beginner-I      0582
9/16 ice, 7/16 water            Beginner-I      1851
99'                             Challenge-II    0685
99 anti tanks + tank = 100      Beginner-I      0379
99' II                          Challenge-II    0686
99999999999999 Slide            Beginner-I      0671
9-bit Binary Counter            Special-I       0406
9-square                        Sokoban-I       0778
9th                             Sokoban-II      0089
A                               Challenge-II    0357
A   N i c e   D e s i g n !     Beginner-I      0712
A baby was born                 Challenge-IV    0908
A beautiful puzzle ! :)         Challenge-V     0504
A Beautiful Stage               Challenge-V     0493
A Big Erratum                   Sokoban-I       1085
A Big Hello                     Beginner-I      1574
A big problem                   Beginner-I      0157
A Big X                         Beginner-I      0625
A bit too...                    Beginner-II     0088
a block is a powerfull ally     Challenge-I     1863
A bricky sokoban                Sokoban-II      0063
A bridge to the sky             Sokoban-I       1766
A Bridge Too Far                LaserTank       0138
A bridge too far 2              Challenge-II    0332
A Bridge Too Far?               Challenge-III   1845
A Bugs Bunny's story            Beginner-I      1180
A building in the snow          Sokoban-I       1554
A Busy Thoroughfare             Sokoban-II      1377
A cadet in training             Challenge-III   0327
à cheval                        LaserTank       1569
A Chilly Amble                  Challenge-III   1638
A Classic One                   Challenge-I     0216
a Coiffeur                      Challenge-III   0017
A cold day                      LaserTank       0947
A Crack in the Ice              Sokoban-I       0895
A Creche Vai Estudar!           Special-I       0196
A Curious Situation             Beginner-II     1307
A Day Off                       Beginner-II     1006
A deadly path                   Beginner-II     0708
A Despedida                     Beginner-I      0661
A era do gelo                   Beginner-II     0170
A Eternity!                     Special-I       0116
A Few Good Tanks                Challenge-II    1356
A Few Small Frozen Lakes        Beginner-I      0281
A first                         Challenge-I     0068
A Flag                          Beginner-I      1469
A flag too far                  LaserTank       1181
A Funny Level                   Beginner-I      0627
A GIFT FROM IRAN                LaserTank       0650
A Glass of Wine                 Sokoban-I       1514
A Grand Day Out                 Challenge-I     0480
A hard day                      Challenge-III   1161
A Hard Job                      Challenge-III   0936
a house with rooms              Challenge-I     1889
A icy passage                   Challenge-II    1863
A Jumbled Mess                  LaserTank       0945
A Knight's Journey              Challenge-II    0711
A Kung futzu Complication       Challenge-III   1743
à la Gary-I                     Sokoban-II      0481
à la Gary-II                    Sokoban-II      0482
à la Gary-III                   Sokoban-II      1244
à la Gary-IV                    Sokoban-II      1245
à la Gary-IX                    Sokoban-II      1284
à la Gary-V                     Sokoban-II      1246
à la Gary-VI                    Sokoban-II      1247
à la Gary-VII                   Sokoban-II      1248
à la Gary-VIII                  Sokoban-II      1249
à la Gary-X                     Sokoban-II      1285
à la Gary-XI                    Sokoban-II      1400
à la Gary-XII                   Sokoban-II      1401
à la Gary-XIII                  Sokoban-II      1456
A la mode .                     Challenge-III   1090
A Larger Metal Box Puzzle       Challenge-III   1434
à l'assaut                      Challenge-I     1986
A lazy work                     Sokoban-I       0553
A level                         Beginner-I      0333
A level in two halves           Challenge-IV    1472
A Liquid Simplex                Beginner-II     1048
A litlle castle                 Sokoban-I       1363
A Little Bit Lost               Challenge-III   1922
A Little Bit of This and That   Challenge-IV    1352
A little easy one               LaserTank       1851
A little gem                    LaserTank       1500
A Little Harbour                Challenge-I     1534
A Little Harder                 LaserTank       1041
A Little Icy                    Challenge-II    1345
A little Medium-One             LaserTank       1848
A little teaser                 Challenge-II    0459
A little tricky one II          Beginner-I      0619
A Little Walk                   LaserTank       0193
A little way                    Beginner-I      0154
A little way2                   Beginner-I      0172
A little way3                   Beginner-I      0175
A little way4                   Beginner-I      0187
a load of blocks                Challenge-I     0025
A Long Cross                    Challenge-II    1492
A Long Journey                  Beginner-II     1043
A long Jurny                    Sokoban-I       0136
A long the River                LaserTank       0969
A LONG time ago...              Challenge-IV    0040
a long way to Tipperary         Challenge-IV    1890
A Long,Long,Long Way            Sokoban-I       0354
A Lot Of Cleaning!!!            Challenge-II    0552
A Lot of Enemies                Beginner-II     0202
A lot of rooms                  Challenge-I     0250
A lot of shooting               Challenge-II    0566
A lot of shooting II            Challenge-II    0651
A lot of shooting III           Sokoban-I       0665
A lotta Warps                   Beginner-I      0546
A mad guy! ©                    LaserTank       1826
A Matter of Coincidence?        Challenge-III   1841
A matter of transport           Sokoban-I       0422
A Mazing                        LaserTank       0874
A Mini Sokoban                  Beginner-II     0914
a mistake?                      Beginner-I      1786
A mixed maze                    Challenge-IV    0044
A Morte Súbita                  Challenge-I     0111
A Muralha                       Beginner-II     0169
A new world                     LaserTank       1299
A Nice Lock                     Challenge-II    1930
A 'Nother Metal Box Puzzle      Beginner-II     0515
A Paixão de Gibson              Sokoban-I       1046
a piece of ice                  Challenge-III   1759
A Pint of Beer                  Sokoban-I       1515
A Plaza                         Sokoban-II      0485
A Question                      Challenge-IV    0948
a quicky                        Beginner-I      0111
A Quiet Walk-around             Challenge-IV    0209
a Quotient                      Sokoban-I       0940
A Real Maze                     Beginner-I      1125
A Revolta dos que Foram         Beginner-I      0602
A Revolta dos que Foram II      Challenge-II    0600
A River Runs Thru It            LaserTank       0071
A sad guy! ©                    LaserTank       1827
A Scenic Tour                   Sokoban-II      0621
A semi-perfect timed level.     Beginner-I      0644
A Sentimental Square            Challenge-III   0988
A sequence in trading           Challenge-III   1495
A Series of Tubes               Challenge-V     0208
A sheepdog and 36 sheep         Challenge-II    1464
A shorty                        Challenge-IV    0350
A SHOTTIG THING                 LaserTank       0654
A Sig I Am                      LaserTank       0522
A simple plan                   Challenge-IV    1833
A simple plan (2)               Challenge-IV    1834
A simple plan (3)               Challenge-IV    1835
A simple removal                Beginner-II     0832
A skating we will go...         Beginner-II     0836
A Slappin' Good Time!           Challenge-III   0501
A Small Assignment              LaserTank       1833
A small dissymmetry             Challenge-I     1512
A small dissymmetry II          Sokoban-I       0273
A Small Entree                  Challenge-III   1209
A small Flag in a big Flag      Beginner-II     0281
A small island                  Beginner-II     0397
A small journey                 Challenge-IV    0817
A Small Metal Box Puzzle        Challenge-III   1436
A small puzzle !                Sokoban-II      1553
A small spin                    Challenge-IV    1520
A Splash of Everything          LaserTank       0076
A Stange Sokoban                Sokoban-I       1439
A stroll through the park       Challenge-IV    1549
A stroll through the park 2     Challenge-IV    1569
A Tap on the Shoulder           Challenge-II    1053
A three corner problem          Challenge-II    0220
A time of confusion             LaserTank       0870
A Torus Field                   Sokoban-II      0538
A touch of Oulala!!!            Challenge-II    1722
A Trap!                         Beginner-II     0663
A tribute to Ron Meijer         Sokoban-II      0280
A tribute to Steve Irwin        Sokoban-I       1983
A tribute to Wolf 1             Challenge-IV    0572
A tribute to Wolf 2             Challenge-IV    0573
A tricky little one             LaserTank       0472
A Unremarkable Level            Beginner-II     1065
A VERY EASY LEVEL?              LaserTank       0313
A very long week                Special-I       0352
a very simple level !           Challenge-III   0755
A very very simple level !      Beginner-II     0314
A vos risques et péril !!!      Challenge-IV    0715
A vos risques et périls 2       Challenge-IV    0716
A vos risques et périls 3       Challenge-IV    0717
A walk in the fields            Challenge-I     1719
A walk in the park              Beginner-II     0012
A walk in the park? #2          Challenge-II    1512
A walk in the park?.            LaserTank       0268
a weird level                   LaserTank       1307
A well oiled machine            Special-I       0451
A Wide River With Rocks In      Beginner-I      0779
A Wise Decision                 Challenge-III   1488
A wonderful Christmas           Challenge-III   1276
A Wonderful Ice for Mirroirs    Challenge-II    1531
a.ducr.                         Beginner-II     0353
A.G. Bell                       Sokoban-I       0722
A1 - Forteresse maudite         Beginner-II     0819
AAAAAAAH!!!                     Challenge-I     1855
Aazaada                         Beginner-II     1137
abandon ship                    Beginner-I      1598
Abandon.                        Sokoban-II      0805
Abandoned Factory               LaserTank       1050
Abandonment                     Challenge-I     0787
ABC                             LaserTank       1756
A-B-C or D All Vote Now         Beginner-I      1216
Abdiquerons                     Challenge-III   1197
abeille                         Challenge-II    1218
Abeja                           Challenge-I     1509
Abgang                          LaserTank       0120
Ability.                        Challenge-IV    1043
Abilon                          Sokoban-II      0444
Able to Leap Tall Buildings     Challenge-III   1836
Ablockalypse 2                  Challenge-IV    0242
Aboriginal - Antartic Battle    Challenge-II    1089
Aboriginal - If you can´t pas   Beginner-I      1300
Aboriginal - In the end...      Beginner-I      1301
Aboriginal - Serpent            Beginner-I      1302
Aboriginal - The fort of the    Challenge-II    1088
aboulies                        Challenge-III   1884
Abracadabra                     LaserTank       1465
Abraham's Fanal                 Challenge-III   1672
Abraracourcix                   Challenge-IV    0086
Abreuvoir                       Sokoban-I       1547
Absentia                        Challenge-III   0295
Absolutely                      Challenge-III   0404
Abstemious                      Challenge-IV    0536
Abstract Arts                   LaserTank       0758
AC                              Beginner-I      0026
AC maze                         Beginner-I      0022
Access All Areas                Challenge-IV    1475
ACCESS DENIED                   Beginner-II     1076
Accuracy and Conformity         Challenge-III   0006
achter Versuch                  Challenge-II    0941
Achtung baby                    LaserTank       1645
Acid Rain                       Sokoban-I       1875
Acid Tunnels                    Challenge-IV    0206
Acid Tunnels II                 Challenge-IV    0207
acoquiné                        Sokoban-I       1597
Acres of Pink                   Challenge-III   1970
Acrohedron                      Sokoban-II      0132
Across The Border               LaserTank       0836
Across the lake                 LaserTank       0446
Across the Moat                 Sokoban-I       0786
Across the Pond                 LaserTank       0032
across the rivers               LaserTank       1916
Across The Two Rivers           LaserTank       1539
Actaeus                         Challenge-IV    0227
action                          LaserTank       0517
Action !                        Challenge-II    0965
Action Document                 Challenge-III   0033
Ad cale´ndas graecas            LaserTank       1571
ADA JALAN                       LaserTank       0311
Adapting Skill                  Challenge-I     0336
Addey & Stanhope I              Beginner-I      0386
Addey & Stanhope II             Challenge-I     1783
Addey & Stanhope School         Beginner-I      0450
Addey and Stanhope              Beginner-I      0426
Addition                        LaserTank       2014
Adenoid                         Sokoban-II      0570
